name,state,region,budget,climate,activity_type,best_season,vibe,rating,description,daily_cost_min,daily_cost_max,famous_for,crowd_level,language,best_food,entry_fee,stay_type,travel_mode,trek_difficulty,wildlife,unesco,honeymoon_suitable,family_suitable,solo_suitable,adventure_level,spiritual_level,photography_score,nearest_airport,nearest_railway,best_month,local_transport,avg_temp_summer,avg_temp_winter,internet_connectivity,medical_facilities,visa_required,currency_tips,off_season_discount,hidden_gem_score,instagram_worthy,night_life,shopping_rating,kid_friendly_score,pet_friendly,accessibility_score,hindi_name
Goa,Goa,West,low,tropical,beach,winter,party,4.5,Sun-soaked beaches and vibrant nightlife along the Arabian Sea coast,1500,4000,Beaches|Nightlife|Seafood,High,Konkani|English,Fish Curry Rice|Bebinca|Feni,Free,Beach Resort|Budget Hostel,Flight|Train|Bus,,Dolphins|Sea Turtles,No,Yes,Yes,Yes,High,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,गोवा
Manali,Himachal Pradesh,North,low,cold,adventure,summer,adventure,4.6,Snow-capped peaks and thrilling mountain trails in the Himalayas,1200,3500,Snow|Trekking|Paragliding,High,Hindi|Pahari,Siddu|Trout Fish|Thukpa,Free,Hotel|Camp|Homestay,Bus|Car,Moderate,Snow Leopard|Musk Deer,No,Yes,Yes,Yes,High,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मनाली
Kerala Backwaters,Kerala,South,medium,tropical,nature,winter,romantic,4.8,Serene houseboat cruises through emerald green backwater canals,2500,6000,Houseboats|Ayurveda|Coconut Groves,Medium,Malayalam,Kerala Sadya|Appam|Karimeen,Free,Houseboat|Resort,Ferry|Car,,Kingfisher|Otters|Birds,No,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,केरल बैकवाटर्स
Rajasthan - Jaipur,Rajasthan,North,medium,hot,cultural,winter,cultural,4.7,Majestic pink city with grand forts palaces and rich Rajput heritage,1800,5000,Forts|Palaces|Handicrafts,High,Hindi|Rajasthani,Dal Baati|Ghewar|Lassi,200,Heritage Hotel|Budget Hotel,Train|Flight|Bus,,Peacock|Nilgai,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,राजस्थान - जयपुर
Varanasi,Uttar Pradesh,North,low,mild,cultural,winter,spiritual,4.6,Ancient holy city on the Ganges with ghats temples and mystical rituals,800,2500,Ghats|Temples|Spirituality,High,Hindi|Bhojpuri,Kachori|Lassi|Chaat,Free,Guesthouse|Budget Hotel,Train|Flight,,Gangetic Dolphin,No,No,Yes,Yes,Low,Very High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वाराणसी
Darjeeling,West Bengal,East,low,cold,nature,spring,nature,4.5,Rolling tea gardens misty hills and the iconic toy train ride,1000,3000,Tea Gardens|Toy Train|Himalayas,Medium,Bengali|Nepali,Momos|Thukpa|Darjeeling Tea,Free,Hotel|Homestay,Train|Car,Easy,Red Panda|Snow Leopard,Yes,Yes,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,दार्जिलिंग
Leh Ladakh,Jammu & Kashmir,North,medium,cold,adventure,summer,adventure,4.9,Stark moonlike landscapes high altitude passes and Buddhist monasteries,2000,6000,Monasteries|Bike Trips|Stargazing,Low,Ladakhi|Hindi,Thukpa|Skyu|Butter Tea,Free,Guesthouse|Camp,Flight|Road Trip,Challenging,Snow Leopard|Wild Ass,No,No,Yes,Yes,Very High,High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लेह लद्दाख
Andaman Islands,Andaman & Nicobar,Island,medium,tropical,beach,winter,romantic,4.8,Crystal clear waters pristine beaches and vibrant coral reefs,3000,8000,Scuba Diving|Beaches|Coral Reefs,Low,Hindi|Bengali,Seafood|Fish Curry|Coconut Water,500,Beach Resort|Budget Hotel,Flight,,Sea Turtle|Dugong,No,Yes,Yes,Yes,Medium,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अंडमान द्वीप
Mysuru,Karnataka,South,low,mild,cultural,winter,cultural,4.6,City of palaces sandalwood and the magnificent Mysore Palace illuminations,900,2500,Palace|Dasara Festival|Sandalwood,Medium,Kannada,Mysore Pak|Dose|Bisibelebath,100,Hotel|Budget Stay,Train|Bus,,Elephant,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मैसूरु
Rishikesh,Uttarakhand,North,low,mild,adventure,spring,nature,4.5,Yoga capital of the world with river rafting and Himalayan spirituality,700,2000,Yoga|Rafting|Bungee Jumping,High,Hindi,Thali|Chaat|Lassi,Free,Ashram|Budget Hotel,Train|Bus,Easy,Crocodile|Mahseer Fish,No,No,Yes,Yes,High,Very High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ऋषिकेश
